Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
NCR,1st district,,"Tondo Binondo Quiapo
San Nicolas Santa Cruz Sampaloc San Miguel Ermita Intramuros Malate Paco Pandacan Port Area Santa Ana","4.1
,,,,2006,2009,2006,2009,2006,2009
,,,"San Fabian San Jacinto San Manuel San Nicolas San Quintin Santa Barbara Santa Maria Santo Tomas Sison
Sual Tayug Umingan Urbiztondo
Urdaneta City Villasis
Laoac","32.8
24.2
28.2
25.3
26.0
28.2
24.2
22.8
29.2
36.7
15.5
38.5
33.2
18.9
19.4
26.5","22.1
21.1
21.3
18.9
20.5
20.4
18.3
17.5
18.9
26.7
16.4
22.9
31.7
14.4
17.0
21.0","2.5
2.8
3.3
2.1
2.9
2.4
2.6
3.7
2.7
3.2
2.6
2.5
3.1
2.1
2.7
2.7","2.3
2.6
2.1
1.2
2.3
2.1
2.5
1.2
1.7
1.3
1.2
2.2
3.0
1.2
1.7
1.2","7.5
11.6
11.7
8.3
11.3
8.4
10.5
16.3
9.1
8.8
16.9
6.5
9.3
11.1
14.0
10.0","10.3
12.3
10.0
6.6
11.2
10.2
13.8
6.6
8.8
4.9
7.3
9.6
9.6
8.4
9.8
5.9"
Region II,Batanes,,Basco Itbayat Ivana Mahatao Sabtang Uyugan,"4.1
18.2
21.9
13.5
10.0
6.0","5.1
12.6
8.9
8.9
11.4
8.1","2.0
6.4
12.0
4.7
5.0
3.2","1.9
4.2
3.8
3.8
3.9
3.2","49.4
35.0
54.8
34.6
50.0
54.3","36.8
33.4
42.2
42.8
33.8
39.6"
,Cagayan,,"Abulog Alcala Allacapan Amulung Aparri Baggao Ballesteros Buguey Calayan
Camalaniugan Claveria  Enrile Gattaran Gonzaga  Iguig
Lal-lo Lasam Pamplona Penablanca Piat
Rizal Sanchez-Mira Santa Ana
Santa Praxedes Santa Teresita Santo Nino Solana
Tuao Tuguegarao City","18.0
22.3
23.8
36.7
17.1
30.0
16.7
20.8
24.2
19.5
10.8
24.8
24.6
19.9
22.3
15.3
18.5
19.7
24.5
29.3
28.1
12.8
14.7
12.2
18.6
28.0
32.8
32.3
7.7","21.6
21.8
21.2
27.9
15.4
22.6
22.7
22.4
27.7
16.9
15.1
19.8
19.2
16.6
19.5
16.7
18.2
20.7
18.2
22.5
26.1
13.4
16.3
17.2
18.6
26.3
22.5
22.7
8.5","3.2
2.2
3.9
4.2
2.9
2.5
2.6
2.6
4.8
2.7
2.1
3.4
2.3
3.0
3.7
2.5
2.2
3.5
4.0
4.0
3.3
2.3
3.7
3.6
3.0
3.4
3.8
4.0
2.1","2.6
2.3
2.6
2.1
1.7
1.9
2.5
2.3
4.1
1.9
1.8
2.3
1.9
2.4
2.3
2.2
2.2
2.6
2.4
2.8
2.8
2.2
2.7
3.7
3.1
3.0
2.0
2.3
1.1","17.6
9.7
16.1
11.5
17.1
8.3
15.8
12.4
19.7
13.9
19.3
13.8
9.5
15.2
16.4
16.1
12.1
17.9
16.1
13.7
11.8
18.0
25.4
29.8
16.3
12.1
11.5
12.4
27.0","12.1
10.4
12.4
7.5
11.2
8.6
11.1
10.2
14.9
11.5
12.1
11.5
9.9
14.5
11.7
13.1
11.8
12.4
13.0
12.5
10.9
16.6
16.2
21.4
16.5
11.2
8.8
10.2
12.9"
,Isabela,,"Alicia Angadanan Aurora
Benito Soliven Burgos Cabagan Cabatuan Cauayan City Cordon Dinapigue Divilican Echague Gamu
Ilagan Jones Luna
Maconacon Delfin Albano Mallig Naguilian Palanan Quezon Quirino Ramon
Reina Mercedes Roxas
San Agustin San Guillermo San Isidro San Manuel San Mariano San Mateo San Pablo Santa Maria Santiago City Santo Tomas Tumaini","18.3
26.9
15.9
32.0
19.1
22.9
13.7
16.8
20.4
13.6
25.3
20.4
14.8
21.6
20.5
16.1
10.1
19.1
23.6
22.9
21.3
21.4
24.8
15.7
23.5
16.1
19.6
36.1
18.5
22.7
29.8
14.3
24.9
28.3
9.8
23.5
23.8","17.2
18.9
16.4
25.4
18.2
16.6
12.7
15.9
16.3
13.8
23.6
15.2
14.8
15.3
15.5
13.8
9.9
19.9
23.8
18.7
19.8
23.8
20.4
16.3
14.0
15.8
11.8
21.6
17.3
20.5
24.2
14.6
19.7
24.4
10.8
18.5
19.8","2.0
3.0
2.3
5.0
3.0
3.1
2.1
1.9
2.6
5.3
6.8
1.9
2.7
2.2
2.8
2.4
2.9
2.3
3.1
2.7
4.2
3.0
3.7
2.7
3.6
2.3
2.7
6.6
2.9
2.9
4.5
2.0
3.7
4.1
2.2
3.4
2.5","2.0
1.8
1.9
2.9
3.3
1.8
2.1
1.5
2.0
4.9
4.1
1.4
2.6
1.3
2.1
2.2
2.4
2.2
2.7
2.0
2.9
3.4
2.2
2.1
2.5
2.1
2.0
2.5
2.7
2.4
2.0
2.1
3.3
2.9
1.6
2.4
1.8","11.1
11.1
14.2
15.5
15.7
13.6
15.5
11.4
12.5
39.2
26.7
9.1
18.1
10.1
13.9
15.2
29.0
12.0
13.1
11.6
19.6
13.9
14.8
17.3
15.3
14.3
13.7
18.2
15.6
12.9
15.0
13.9
14.8
14.4
22.1
14.5
10.6","11.8
9.4
11.9
11.3
18.1
11.0
16.8
9.6
12.4
35.3
17.4
9.2
17.7
8.3
13.7
16.2
24.3
11.2
11.4
10.5
14.9
14.2
10.8
13.1
17.9
13.2
17.1
11.6
15.6
11.9
8.3
14.2
16.7
11.8
14.3
12.9
9.0"
,Nueva Vizcaya,,"Ambaguio Aritao Bagabag Bambang Bayombong Diadi
Dupax del Norte Dupax del Sur Kasibu
Kayapa Quezon Santa Fe Solano Villaverde
Alfonso Castaneda","17.8
12.7
12.9
10.8
7.1
18.8
16.5
15.0
15.8
15.8
18.5
15.2
6.9
12.3
14.1","15.5
16.2
13.4
11.3
8.6
17.6
11.4
15.4
13.6
16.1
16.6
11.4
10.1
11.1
14.0","4.5
2.4
2.2
1.7
1.6
2.8
3.0
3.1
2.9
3.1
3.3
5.1
1.4
3.1
3.9","3.9
2.1
2.2
1.5
1.4
2.1
2.5
2.5
2.1
2.4
3.3
2.6
1.7
2.7
4.6","25.3
19.0
16.8
15.8
22.9
14.8
18.2
20.5
18.4
19.5
17.9
33.4
20.8
25.1
27.4","25.1
13.1
16.2
13.6
16.7
12.1
21.6
16.4
15.5
14.9
19.6
23.1
17.3
24.4
33.1"
,Quirino,,Aglipay Cobarronguis Diffun Madella Saguday,"22.0
12.1
23.0
17.5
20.1","16.3
11.8
17.5
14.4
18.8","3.1
2.5
2.9
2.7
3.4","2.4
2.3
1.9
2.0
3.3","14.3
21.0
12.6
15.4
16.8","14.8
19.5
10.6
13.9
17.5"
Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
,,,Nagtipunan,23.4,15.4,5.3,3.1,22.6,20.1
